mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54.22278170585632,1.1831386848816325,2.02079381942749,0.0745929333089091,0.8,0.03,4,600,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 600, 'model__subsample': 0.8}",-0.07885512400882964,-0.07513229303018751,-0.07583118258736872,-0.07698023026098587,-0.07903247766513512,-0.07716626151050136,0.0015677429897642794,105
42.914868640899655,1.4424070301672358,2.0493202686309813,0.20877964721210457,0.8,0.03,4,600,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 600, 'model__subsample': 1.0}",-0.07576033525370453,-0.07599372771281195,-0.0738831420074499,-0.07616649902113695,-0.07728647277296813,-0.0758180353536143,0.001100522126064094,104
72.01020708084107,1.445741553806279,3.8802522659301757,0.18535952060120636,0.8,0.03,4,800,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 800, 'model__subsample': 0.8}",-0.07408184137932247,-0.07157140558234013,-0.07073005667469165,-0.073780522850865,-0.07296768696065947,-0.07262630268957575,0.0012865393219359822,100
52.13452115058899,2.0957933586094986,4.036882734298706,0.2665042047408168,0.8,0.03,4,800,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 800, 'model__subsample': 1.0}",-0.06939333814982891,-0.07124754576571939,-0.06926871962534924,-0.07113679953083851,-0.07124037536316925,-0.07045735568698105,0.0009213200439770177,99
85.89166488647462,1.521690855519821,4.31573257446289,0.7568773943158588,0.8,0.03,4,1000,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 1000, 'model__subsample': 0.8}",-0.0703637247523091,-0.06933772343689788,-0.06842191051916911,-0.07028137250420623,-0.06913298647637801,-0.06950754353779207,0.0007320639932957649,96
64.99807372093201,0.8784378364635653,4.561371326446533,0.6884902246271948,0.8,0.03,4,1000,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 1000, 'model__subsample': 1.0}",-0.06697324704563147,-0.06840077302291726,-0.06652978556442968,-0.06802697637928555,-0.06742869470215847,-0.06747189534288447,0.0006795610282833754,90
74.75642099380494,2.2167595031653438,7.5794309139251705,0.4486982186049692,0.8,0.03,6,600,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 600, 'model__subsample': 0.8}",-0.062365077738745486,-0.063364642777213,-0.0626872945573412,-0.06372094752457631,-0.06299850012383605,-0.06302729254434242,0.0004795661569828288,70
57.85472002029419,0.617799654189691,8.355209922790527,0.45901741113835504,0.8,0.03,6,600,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 600, 'model__subsample': 1.0}",-0.06144685916224348,-0.06266690221048724,-0.0616645183289476,-0.06299933233292507,-0.06224133713716138,-0.06220378983435295,0.0005852398719898608,63
92.95750336647033,1.803118825580392,8.35856556892395,1.2745943671503843,0.8,0.03,6,800,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 800, 'model__subsample': 0.8}",-0.061708862411697034,-0.06282819085475215,-0.06213955350475505,-0.06342704569757111,-0.06260409043890301,-0.06254154858153568,0.0005873919846952544,66
76.74619913101196,2.8156047801216,9.352546167373657,1.080081131649831,0.8,0.03,6,800,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 800, 'model__subsample': 1.0}",-0.061035436116617825,-0.06218348226005263,-0.06107901363393561,-0.062463697269786934,-0.06158913972064144,-0.061670153800206885,0.0005748206434929909,48
112.22625494003296,2.3995877593429613,12.324003410339355,1.2848525407315674,0.8,0.03,6,1000,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 1000, 'model__subsample': 0.8}",-0.06138610308805538,-0.06255438310131406,-0.06180572587685063,-0.06310023138589842,-0.062116402321778195,-0.06219256915477933,0.0005933964412789069,62
87.43678460121154,1.6312547456231243,11.768308782577515,1.0996121924369855,0.8,0.03,6,1000,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 6, 'model__n_estimators': 1000, 'model__subsample': 1.0}",-0.06063674117750325,-0.06200577339033572,-0.060853876439252746,-0.06226089022604061,-0.061173523365054765,-0.061386160919637424,0.0006386301622853684,42
98.06441488265992,1.1622359205390063,13.793570613861084,0.5815039182141607,0.8,0.03,8,600,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 8, 'model__n_estimators': 600, 'model__subsample': 0.8}",-0.06010787613494416,-0.0608943187549648,-0.06051773425280805,-0.06155139434324411,-0.06070556486800112,-0.06075537767079244,0.00047563875284739674,12
